Ac	Activities
Ac_32_60	Natural spaces activities	Ac_32
Ac_32_60_80	Silviculture	Ac_32_60
Ac_35	Medical, health, welfare and sanitary activities	Ac
Ac_35_10	Medical activities	Ac_35
Ac_35_10_08	Birthing	Ac_35_10
Ac_35_10_10	Burns treating	Ac_35_10
Ac_35_10_15	Consulting	Ac_35_10
Ac_35_10_23	Dissection	Ac_35_10
Ac_35_10_31	First aiding	Ac_35_10
Ac_35_10_36	Hearing testing	Ac_35_10
Ac_35_10_39	Hydrotherapy	Ac_35_10
Ac_35_10_42	Intensive caring	Ac_35_10
Ac_35_10_43	Isolation caring	Ac_35_10
Ac_35_10_51	Medical scanning	Ac_35_10
Ac_35_10_53	Midwifery	Ac_35_10
Ac_35_10_57	Nursing	Ac_35_10
Ac_35_10_58	Occupational therapy	Ac_35_10
Ac_35_10_59	Operating	Ac_35_10
Ac_35_10_64	Pharmaceutical dispensing	Ac_35_10
Ac_35_10_65	Phototherapy	Ac_35_10
Ac_35_10_66	Physiotherapy	Ac_35_10
Ac_35_10_70	Radiography	Ac_35_10
Ac_35_10_71	Radiotherapy	Ac_35_10
Ac_35_10_74	Rehabilitating	Ac_35_10
Ac_35_10_76	Screening research	Ac_35_10
Ac_35_50	Welfare activities	Ac_35
Ac_35_50_21	Day care	Ac_35_50
Ac_35_50_42	Infant caring	Ac_35_50
Ac_35_60	Food management activities	Ac_35
Ac_35_60_16	Cooking	Ac_35_60
Ac_35_60_30	Food preparation	Ac_35_60
Ac_35_60_31	Food serving	Ac_35_60
Ac_35_70	Funerary activities	Ac_35
Ac_35_70_04	Ash urn storing	Ac_35_70
Ac_35_70_10	Burial	Ac_35_70
Ac_35_70_18	Cremating	Ac_35_70
Ac_35_70_42	Interment in a vault or tomb	Ac_35_70
Ac_35_80	Sanitary activities	Ac_35
Ac_35_80_06	Baby changing	Ac_35_80
Ac_35_80_07	Bathing	Ac_35_80
Ac_35_80_80	Showering	Ac_35_80
Ac_35_85	Animal activities	Ac_35
Ac_35_85_02	Animal care	Ac_35_85
Ac_35_85_04	Animal exercising	Ac_35_85
Ac_35_90	Animal medical	Ac_35
Ac_35_90_25	Animal drug dispensing	Ac_35_90
Ac_35_90_32	Animal funerary activities	Ac_35_90
Ac_35_90_34	Animal grooming	Ac_35_90
Ac_35_90_39	Animal hydrotherapy	Ac_35_90
Ac_35_90_59	Animal operating	Ac_35_90
Ac_40	Recreational activities	Ac
Ac_40_05	Amusement activities	Ac_40
Ac_40_05_03	Amusement arcade activities	Ac_40_05
Ac_40_05_33	Gambling	Ac_40_05
Ac_40_05_42	Indoor fairground riding	Ac_40_05
Ac_40_05_58	Observing	Ac_40_05
Ac_40_05_59	Outdoor activities	Ac_40_05
Ac_40_05_60	Outdoor fairground riding	Ac_40_05
Ac_40_05_63	Playing	Ac_40_05
Ac_40_05_89	Theme park activities	Ac_40_05
Ac_40_20	Dining activities	Ac_40
Ac_40_20_09	Beverage dispensing	Ac_40_20
Ac_40_20_27	Enclosed dining	Ac_40_20
Ac_40_20_28	Food dispensing	Ac_40_20
Ac_40_20_59	Outdoor dining	Ac_40_20
Ac_40_35	Historic recreational activities	Ac_40
Ac_40_35_06	Battle sites exploring	Ac_40_35
Ac_40_35_37	Historic earthworks exploring	Ac_40_35
Ac_40_35_38	Historic ruins exploring	Ac_40_35
Ac_40_60	Performing arts performance activities	Ac_40
